Date,Symbol,Close,Volume
2024-06-25,VRSN,177.92,1113100.0
2024-06-26,VRSN,179.1,719000.0
2024-06-27,VRSN,178.23,921100.0
2024-06-28,VRSN,177.8,1235400.0
2024-07-01,VRSN,175.71,656400.0
2024-07-02,VRSN,175.98,727400.0
2024-07-03,VRSN,175.45,362800.0
2024-07-05,VRSN,176.8,468300.0
2024-07-08,VRSN,175.84,437400.0
2024-07-09,VRSN,174.18,339700.0
2024-07-10,VRSN,174.62,486200.0
2024-07-11,VRSN,174.85,437700.0
2024-07-12,VRSN,177.76,504700.0
2024-07-15,VRSN,176.9,455200.0
2024-07-16,VRSN,179.8,625600.0
2024-07-17,VRSN,179.34,720400.0
2024-07-18,VRSN,177.63,796300.0
2024-07-19,VRSN,177.18,763300.0
2024-07-22,VRSN,177.46,509900.0
2024-07-23,VRSN,176.26,625300.0
2024-07-24,VRSN,174.97,888500.0
2024-07-25,VRSN,176.74,1494000.0
2024-07-26,VRSN,184.1,1328500.0
2024-07-29,VRSN,186.65,1171700.0
2024-07-30,VRSN,186.96,734100.0
2024-07-31,VRSN,187.01,679600.0
2024-08-01,VRSN,188.37,879400.0
2024-08-02,VRSN,187.71,787600.0
2024-08-05,VRSN,178.62,1403200.0
2024-08-06,VRSN,177.16,720800.0
2024-08-07,VRSN,175.22,1123500.0
2024-08-08,VRSN,177.27,541000.0
2024-08-09,VRSN,175.01,462200.0
